Format Version,1.25,Take Name,Take 2026-08-14 08.59.11 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-14 08.59.11.625 AM,Capture Start Frame,151764,Total Frames in Take,150,Total Exported Frames,150,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
25,0.208333,0.000694,-0.000272,0.000981,0.999999,263.929932,26.519472,766.332520,291.820923,25.856333,818.797974,295.350586,27.903175,717.143127,204.618408,25.798908,763.056335,291.848694,25.857632,818.750854,295.337769,27.901632,717.212830,204.603577,25.799126,763.035278,230.295593,712.964050,688.764587,3619.955566,70.404274,-2987.417969,,,,,,,2265.978271,1411.437622,-1884.531250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.000148,-0.000089,0.000636,1.000000,263.900848,26.501110,766.293091,291.810547,25.875982,818.749084,295.304443,27.809395,717.090759,204.587631,25.817951,763.039368,291.827881,25.876051,818.757446,295.284576,27.808897,717.103394,204.589951,25.818377,763.018311,230.302216,712.982361,688.736511,3620.041504,70.242188,-2987.523193,,,,,,,2265.989258,1411.570190,-1884.497559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,-0.000098,-0.000112,0.000606,1.000000,263.869476,26.452688,766.269287,291.776672,25.851637,818.726868,295.275452,27.734972,717.067749,204.556381,25.771456,763.013062,291.802490,25.851452,818.754944,295.237335,27.734344,717.075928,204.568588,25.772264,762.976807,230.280197,712.976501,688.748657,3619.888184,70.360565,-2987.509521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,0.000202,0.000081,0.000211,1.000000,263.898376,26.519463,766.314880,291.825317,25.864916,818.761292,295.286377,27.806416,717.101990,204.583511,25.887054,763.081177,291.818878,25.864422,818.783203,295.276001,27.806665,717.082275,204.600204,25.887295,763.079041,230.281235,712.942139,688.763733,3619.557129,70.742523,-2987.574463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,0.000394,-0.000385,0.000989,0.999999,263.936615,26.441853,766.315063,291.815704,25.810537,818.787231,295.368408,27.796650,717.131958,204.625839,25.718365,763.025818,291.838867,25.810486,818.806213,295.379547,27.796995,717.122314,204.591080,25.718067,763.016541,230.289703,712.926270,688.819946,3619.519531,70.853394,-2987.604980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,0.000293,-0.000205,0.000572,1.000000,263.956116,26.448603,766.357422,291.853607,25.804630,818.819641,295.371307,27.767197,717.162720,204.643585,25.773979,763.089783,291.848938,25.804108,818.843994,295.385071,27.767994,717.129211,204.634705,25.773710,763.098450,230.277573,712.897034,688.819275,3619.681396,70.587326,-2987.624268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,0.000037,0.000109,0.000251,1.000000,263.936218,26.456135,766.348755,291.866180,25.821142,818.793823,295.321381,27.729343,717.133789,204.621231,25.817915,763.118652,291.857300,25.820539,818.821045,295.311340,27.729706,717.107239,204.639877,25.818153,763.117981,230.257645,712.934692,688.756409,3619.655762,70.578819,-2987.613770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,-0.000136,0.000275,-0.000454,1.000000,263.949951,26.472555,766.318909,291.896454,25.816355,818.754883,295.320496,27.684490,717.093018,204.633057,25.916819,763.108704,291.867767,25.816187,818.747681,295.315155,27.684566,717.085388,204.667404,25.916914,763.123962,230.304947,712.995605,688.787048,3619.791504,70.435745,-2987.560547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,-0.000224,-0.000005,0.000308,1.000000,263.929932,26.466511,766.250183,291.847992,25.862074,818.701904,295.326141,27.717653,717.041687,204.615738,25.819805,763.006836,291.878479,25.862734,818.685730,295.297516,27.716434,717.091309,204.613297,25.820335,762.974609,230.295776,713.010864,688.729858,3619.672607,70.418533,-2987.608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,-0.000778,-0.000023,0.000250,1.000000,263.918976,26.447821,766.194702,291.835052,25.898321,818.648071,295.317139,27.640739,716.985962,204.604828,25.804401,762.949890,291.885284,25.898939,818.647217,295.283569,27.639511,717.035034,204.587845,25.805004,762.902222,230.334686,713.061768,688.674011,3619.958496,70.166077,-2987.636230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
